character_name,character_speech
frulinde ,"['ja', 'det', 'er', 'jeg', 'visstnok', 'i', 'ni–ti', 'lange', 'år', '–']"
nora ,"['er', 'det', 'så', 'længe', 'siden', 'vi', 'såes', 'ja', 'det', 'er', 'det', 'jo', 'også', 'å', 'de', 'sidste', 'otte', 'år', 'har', 'været', 'en', 'lykkelig', 'tid', 'kan', 'du', 'tro', 'og', 'nu', 'er', 'du', 'altså', 'kommen', 'herind', 'til', 'byen', 'gjort', 'den', 'lange', 'rejse', 'ved', 'vintertid', 'det', 'var', 'tappert']"
frulinde ,"['jeg', 'kom', 'netop', 'med', 'dampskibet', 'imorges']"
nora ,"['for', 'at', 'more', 'dig', 'i', 'julen', 'naturligvis', 'å', 'hvor', 'det', 'er', 'dejligt', 'ja', 'more', 'os', 'det', 'skal', 'vi', 'rigtignok', 'men', 'tag', 'dog', 'overtøjet', 'af', 'du', 'fryser', 'dog', 'vel', 'ikke', 'se', 'så', 'nu', 'sætter', 'vi', 'os', 'hyggeligt', 'her', 'ved', 'ovnen', 'nej', 'i', 'lænestolen', 'der', 'her', 'i', 'gyngestolen', 'vil', 'jeg', 'sidde', 'ja', 'nu', 'har', 'du', 'jo', 'dit', 'gamle', 'ansigt', 'igen', 'det', 'var', 'bare', 'i', 'det', 'første', 'øjeblik', '–', 'lidt', 'blegere', 'er', 'du', 'dog', 'bleven', 'kristine', '–', 'og', 'kanske', 'lidt', 'magrere']"
frulinde ,"['og', 'meget', 'meget', 'ældre', 'nora']"
nora ,"['ja', 'kanske', 'lidt', 'ældre', 'bitte', 'bitte', 'lidt', 'slet', 'ikke', 'meget', 'å', 'men', 'jeg', 'tankeløse', 'menneske', 'som', 'sidder', 'her', 'og', 'snakker', 'søde', 'velsignede', 'kristine', 'kan', 'du', 'tilgive', 'mig']"
frulinde ,"['hvad', 'mener', 'du', 'nora']"
nora ,"['stakkers', 'kristine', 'du', 'er', 'jo', 'bleven', 'enke']"
frulinde ,"['ja', 'for', 'tre', 'år', 'siden']"
nora ,"['å', 'jeg', 'vidste', 'det', 'jo', 'nok', 'jeg', 'læste', 'det', 'jo', 'i', 'aviserne', 'å', 'kristine', 'du', 'må', 'tro', 'mig', 'jeg', 'tænkte', 'ofte', 'på', 'at', 'skrive', 'dig', 'til', 'i', 'den', 'tid', 'men', 'altid', 'op', 'satte', 'jeg', 'det', 'og', 'altid', 'kom', 'der', 'noget', 'ivejen']"
frulinde ,"['kære', 'nora', 'det', 'forstår', 'jeg', 'så', 'godt']"
nora ,"['nej', 'det', 'var', 'stygt', 'af', 'mig', 'kristine', 'å', 'du', 'stakker', 'hvor', 'meget', 'du', 'visst', 'har', 'gået', 'igennem', '–', 'og', 'han', 'efterlod', 'dig', 'jo', 'ikke', 'noget', 'at', 'leve', 'af']"
frulinde ,['nej']
nora ,"['og', 'ingen', 'børn']"
frulinde ,['nej']
nora ,"['slet', 'ingen', 'ting', 'altså']"
frulinde ,"['ikke', 'engang', 'en', 'sorg', 'eller', 'et', 'savn', 'til', 'at', 'tære', 'på']"
nora ,"['ja', 'men', 'kristine', 'hvor', 'kan', 'det', 'være', 'muligt']"
frulinde ,"['å', 'det', 'hænder', 'undertiden', 'nora']"
nora ,"['så', 'ganske', 'alene', 'hvor', 'det', 'må', 'være', 'for', 'færdelig', 'tungt', 'for', 'dig', 'jeg', 'har', 'tre', 'dejlige', 'børn', 'ja', 'nu', 'kan', 'du', 'ikke', 'få', 'se', 'dem', 'for', 'de', 'er', 'ude', 'med', 'pigen', 'men', 'nu', 'må', 'du', 'fortælle', 'mig', 'alt', '–']"
frulinde ,"['nej', 'nej', 'nej', 'fortæl', 'heller', 'du']"
nora ,"['nej', 'du', 'skal', 'begynde', 'idag', 'vil', 'jeg', 'ikke', 'være', 'egenkærlig', 'idag', 'vil', 'jeg', 'tænke', 'bare', 'på', 'dine', 'sager', 'men', 'et', 'må', 'jeg', 'dog', 'sige', 'dig', 'ved', 'du', 'den', 'store', 'lykke', 'som', 'er', 'hændt', 'os', 'i', 'disse', 'dage']"
frulinde ,"['nej', 'hvad', 'er', 'det']"
nora ,"['tænk', 'min', 'mand', 'er', 'bleven', 'direktør', 'i', 'aktie', 'banken']"
frulinde ,"['din', 'mand', 'å', 'hvilket', 'held', '–']"
